,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Erenhot,24,CN,1554611871,47,43.65,111.97,46.23,7.4
1,Bambous Virieux,75,MU,1554611640,61,-20.34,57.76,82.4,11.41
2,Hermanus,36,ZA,1554611456,89,-34.42,19.24,61.0,5.01
3,Te Anau,0,NZ,1554611872,53,-45.41,167.72,51.54,2.15
4,Robertsport,76,LR,1554611872,100,6.75,-11.37,78.9,8.41
5,Carnarvon,48,ZA,1554611873,92,-30.97,22.13,54.15,12.66
6,Kutahya,75,TR,1554609000,81,39.42,29.98,46.4,9.17
7,Mount Isa,40,AU,1554609600,33,-20.73,139.49,87.8,11.41
8,Kodiak,90,US,1554611824,100,39.95,-94.76,62.6,8.05
9,Jamestown,0,AU,1554611874,33,-33.21,138.6,73.59,18.7
10,Ancud,90,CL,1554606000,93,-41.87,-73.83,55.4,9.17
11,Ribeira Grande,44,PT,1554611874,100,38.52,-28.7,58.29,25.86
12,Camocim,92,BR,1554611791,91,-2.9,-40.84,71.07,4.5
13,Cape Town,0,ZA,1554611752,82,-33.93,18.42,62.01,8.05
14,Maningrida,80,AU,1554611875,96,-12.05,134.23,80.52,17.47
15,Saint-Philippe,90,CA,1554611607,86,45.36,-73.48,39.99,3.36
16,Eyl,0,SO,1554611875,89,7.98,49.82,82.41,3.27
17,Nikolskoye,36,RU,1554611736,86,59.7,30.79,33.01,3.38
18,Houma,0,CN,1554611876,28,35.63,111.36,77.91,4.5
19,Rikitea,76,PF,1554611876,100,-23.12,-134.97,77.91,13.67
20,Norman Wells,20,CA,1554606000,54,65.28,-126.83,30.2,4.7
21,Nouadhibou,0,MR,1554609600,63,20.93,-17.03,62.6,21.92
22,Longyearbyen,20,NO,1554609000,72,78.22,15.63,12.2,5.82
23,Moskovskiy,12,RU,1554610206,86,55.6,37.35,35.01,2.24
24,Tchaourou,0,BJ,1554611877,92,8.89,2.6,74.94,7.4
25,Sibolga,88,ID,1554611645,91,1.74,98.78,77.37,2.71
26,Coihaique,90,CL,1554606000,71,-45.58,-72.07,53.6,4.7
27,Khatanga,88,RU,1554611878,89,71.98,102.47,16.62,13.33
28,Bluff,0,AU,1554611671,34,-23.58,149.07,86.37,9.64
29,Ushuaia,90,AR,1554606000,93,-54.81,-68.31,37.4,28.86
30,Tasiilaq,92,GL,1554609000,58,65.61,-37.64,30.2,39.15
31,Mataura,0,NZ,1554611407,66,-46.19,168.86,57.99,5.01
32,Mezocsat,90,HU,1554609240,100,47.82,20.92,41.0,3.36
33,Hobart,0,AU,1554611421,35,-42.88,147.33,70.0,19.46
34,Bredasdorp,64,ZA,1554611456,88,-34.53,20.04,62.6,3.36
35,Airai,68,TL,1554611879,87,-8.93,125.41,76.02,2.15
36,Cherskiy,0,RU,1554611880,68,68.75,161.3,15.9,2.37
37,Hirara,20,JP,1554606000,74,24.8,125.28,78.8,6.93
38,Shihezi,32,CN,1554611880,62,44.3,86.03,55.32,16.69
39,Nanortalik,32,GL,1554611881,92,60.14,-45.24,31.92,10.98
40,Moyale,0,ET,1554611882,48,3.52,39.05,81.42,4.27
41,San Andres,0,PH,1554611591,95,13.32,122.68,84.75,4.38
42,Nantucket,1,US,1554611846,86,41.28,-70.1,45.0,10.54
43,Hilo,8,US,1554611608,85,19.71,-155.08,75.99,1.01
44,Vaini,20,IN,1554606000,54,15.34,74.49,78.8,3.36
45,Albany,75,US,1554611675,75,42.65,-73.75,41.0,2.59
46,Vardo,1,US,1554611737,71,39.62,-77.74,55.4,2.37
47,Mizdah,0,LY,1554611884,95,31.45,12.98,52.08,4.61
48,Quatre Cocos,75,MU,1554611640,61,-20.21,57.76,82.4,11.41
49,Ilulissat,32,GL,1554609000,44,69.22,-51.1,37.4,32.21
50,Innisfail,75,CA,1554611715,67,52.02,-113.95,39.99,5.82
51,Awbari,0,LY,1554611886,46,26.59,12.77,58.92,4.38
52,Mar del Plata,20,AR,1554611886,42,-46.43,-67.52,55.86,13.44
53,Karratha,0,AU,1554611886,12,-20.74,116.85,106.62,14.56
54,Georgetown,92,GY,1554611806,67,6.8,-58.16,79.53,7.85
55,Bilibino,0,RU,1554611887,71,68.06,166.44,23.73,3.27
56,Lebu,8,ET,1554611888,49,8.96,38.73,67.92,3.71
57,Busselton,0,AU,1554611710,32,-33.64,115.35,73.0,7.96
58,Srednekolymsk,8,RU,1554611625,73,67.46,153.71,21.57,3.27
59,Touros,20,BR,1554609600,94,-5.2,-35.46,77.0,5.82
60,Neftcala,88,AZ,1554611889,94,39.37,49.25,54.69,4.16
61,Mahebourg,75,MU,1554611640,61,-20.41,57.7,82.4,11.41
62,Butaritari,88,KI,1554611889,100,3.07,172.79,79.17,6.85
63,Kincardine,90,GB,1554611840,100,56.07,-3.72,46.0,16.11
64,Vostok,80,RU,1554611890,52,46.45,135.83,38.94,2.93
65,Port Hardy,90,CA,1554609600,93,50.7,-127.42,42.8,5.82
66,Pevek,0,RU,1554611892,74,69.7,170.27,7.98,5.61
67,Punta Arenas,75,CL,1554609756,75,-53.16,-70.91,44.6,39.15
68,Faanui,88,PF,1554611893,98,-16.48,-151.75,85.29,17.36
69,Avarua,92,CK,1554611400,69,-21.21,-159.78,78.8,6.93
70,Lagoa,40,PT,1554611530,76,37.14,-8.45,55.4,8.05
71,Codrington,0,AU,1554611861,42,-28.95,153.24,86.0,5.82
72,Souillac,0,FR,1554611787,100,45.6,-0.6,39.99,3.36
73,Kushiro,75,JP,1554609600,34,43.11,144.15,50.0,14.99
74,Dandong,0,CN,1554611894,27,40.12,124.37,57.12,1.59
75,Savannah Bight,0,HN,1554611894,98,16.45,-85.85,79.44,20.49
76,Wundanyi,36,KE,1554611895,79,-3.4,38.37,73.68,3.71
77,Tiznit,0,MA,1554611628,97,29.7,-9.73,48.66,5.73
78,Atuona,64,PF,1554611677,97,-9.8,-139.03,83.04,13.44
79,Tilichiki,0,RU,1554611895,82,60.47,166.1,32.82,8.63
80,Snasa,44,NO,1554611896,94,64.25,12.38,27.42,2.26
81,Hasaki,40,JP,1554611427,55,35.73,140.83,70.0,4.7
82,Antofagasta,90,CL,1554606000,88,-23.65,-70.4,62.6,9.17
83,Ambon,90,FR,1554611849,100,47.55,-2.56,48.99,4.7
84,Paita,8,PE,1554611896,88,-5.09,-81.11,69.36,2.71
85,Aswan,0,EG,1554609600,34,24.09,32.9,69.8,3.36
86,Yarada,0,IN,1554607800,52,17.65,83.27,89.6,3.36
87,Puerto Ayora,0,EC,1554610574,94,-0.74,-90.35,77.0,6.17
88,Yellowknife,90,CA,1554611753,67,62.45,-114.38,19.4,13.87
89,Blythe,1,US,1554611610,27,33.61,-114.59,73.4,3.36
90,Ilo,0,PE,1554611898,93,-17.65,-71.34,58.65,2.59
91,Kutum,0,SD,1554611898,16,14.2,24.66,73.05,9.42
92,Bilma,8,NE,1554611898,21,18.69,12.92,73.59,6.73
93,Torbay,90,CA,1554611612,87,47.66,-52.73,33.01,16.11
94,Bethel,1,US,1554609360,51,60.79,-161.76,35.6,13.87
95,Hvide Sande,0,DK,1554611100,86,56.01,8.13,41.0,4.7
96,Yendi,64,GH,1554611900,78,9.45,0.0,78.45,7.18
97,Aksarka,0,RU,1554611900,89,66.56,67.8,28.32,18.48
98,Buta,0,CD,1554611901,90,2.79,24.73,77.1,2.93
99,Salalah,0,OM,1554609000,69,17.01,54.1,78.8,3.36
100,Basoko,12,CD,1554611903,93,1.23,23.61,76.83,3.94
101,Isoka,20,ZM,1554611903,94,-10.15,32.64,67.56,4.38
102,San Francisco de Ojuera,0,HN,1554611903,87,14.75,-88.19,64.86,1.92
103,Hithadhoo,12,MV,1554611903,100,-0.6,73.08,84.66,5.61
104,Beloha,0,MG,1554611904,59,-25.17,45.06,83.13,11.43
105,Marzuq,0,YE,1554611904,45,14.4,46.47,76.56,3.6
106,Namatanai,64,PG,1554611904,100,-3.66,152.44,82.68,2.59
107,Chokurdakh,80,RU,1554611904,93,70.62,147.9,21.93,4.94
